Question,1. BM25,2. BM25 + Reranker,3. Dense,4. Dense + Reranker,5. Hybrid,6. Hybrid + Reranker
Где хранятся обезличенные датасеты и в каком суде будут рассматриваться споры при нарушении конфиденциальности?,1.0,1.0,0.5,0.5,0.0,1.0
"Если разработчик Senior сожжёт свой рабочий ноутбук, кто ответственный за пожарную безопасность и какой бюджет на новый ноутбук такого же уровня?",1.0,1.0,1.0,0.5,1.0,0.5
Как зовут гендира?,0.0,1.0,1.0,1.0,1.0,1.0
Какие электроприборы мне разрешено не выключать из розетки и оставлять без присмотра на ночь в офисе?,0.5,0.5,1.0,1.0,1.0,1.0
Какой лимит на монитор для HR-менеджера и какие бренды допустимы?,1.0,1.0,1.0,1.0,1.0,1.0
Какой точный адрес хранилища Nextcloud и как называется файл конфигурации VPN?,1.0,1.0,0.5,1.0,1.0,1.0
Какой штраф за слив кода на GitHub?,1.0,1.0,1.0,1.0,1.0,1.0
"Могу ли я воспользоваться ДМС, если я работаю в компании только второй месяц?",1.0,1.0,1.0,1.0,1.0,1.0
Можно ли бесплатно полечить зубы по корпоративной страховке?,1.0,1.0,1.0,1.0,1.0,1.0
Оплачивает ли фирма тренировки в тренажерном зале?,1.0,1.0,1.0,1.0,1.0,1.0
Сколько дней дей-оффов у меня есть и переносятся ли они на следующий год?,1.0,1.0,1.0,0.5,1.0,0.5
"Я заболел во время ежегодного отпуска. При каком условии мне его продлят, и на какой адрес писать, если возникли проблемы со сбросом пароля?",1.0,1.0,0.5,1.0,1.0,1.0
